office,town,candidate,party,votes,vote_percent
Board of Aldermen District 1,statewide,Michael Grosso,R,244,36.53%
Board of Aldermen District 1,statewide,Jameson P. Stock,R,203,30.39%
Board of Aldermen District 1,statewide,Mary Grace Cavallo,R,114,17.07%
Board of Aldermen District 1,statewide,Amanda Nardozzi,R,107,16.02%
First Selectman,statewide,Paul E. Sweet,R,329,48.89%
First Selectman,statewide,Kevin M. Cunningham,R,344,51.11%
First Selectman,statewide,Jeffrey Luff,R,739,42.59%
First Selectman,statewide,George R. Temple,R,996,57.41%
Selectman,statewide,Richard Canova,R,138,51.49%
Selectman,statewide,"Martin D. McKinney, Jr.",R,130,48.51%
Town Clerk,statewide,Sarah Pytlik,R,225,55.83%
Town Clerk,statewide,Bob Siegrist,R,178,44.17%
Board of Estimate and Taxation,statewide,David Alfano,R,1376,8.08%
Board of Estimate and Taxation,statewide,Nisha Arora,R,1303,7.65%
Board of Estimate and Taxation,statewide,Sally Eddy Bednar,R,1570,9.22%
Board of Estimate and Taxation,statewide,Harry Fisher,R,1530,8.98%
Board of Estimate and Taxation,statewide,Lucia D. Jansen,R,1288,7.56%
Board of Estimate and Taxation,statewide,Joe Pellegrino,R,1712,10.05%
Board of Estimate and Taxation,statewide,Joshua Brown,R,1540,9.04%
Board of Estimate and Taxation,statewide,Joe Kelly,R,1694,9.94%
Board of Estimate and Taxation,statewide,Leslie Tarkington,R,1541,9.05%
Board of Estimate and Taxation,statewide,Alessandra Brus,R,1116,6.55%
Board of Estimate and Taxation,statewide,Philip Dodson,R,1179,6.92%
Board of Estimate and Taxation,statewide,John S. Hopley,R,1186,6.96%
First Selectman,statewide,Myron Jack Joslyn,R,105,52.76%
First Selectman,statewide,"Frank M. Bood, Sr",R,44,22.11%
First Selectman,statewide,Kimberly Ann Gunn,R,50,25.13%
First Selectman,statewide,Brian Muschiano,R,133,60.73%
First Selectman,statewide,Christopher A Wilson,R,86,39.27%
Mayor,statewide,James Paolino,R,300,48.31%
Mayor,statewide,Paul D. D'Angelo,R,321,51.69%
Selectman,statewide,Julianne Ingham,R,262,47.46%
Selectman,statewide,Michael E. Burr,R,290,52.54%
Board of Aldermen District 2,statewide,Andrew Clisham,R,52,19.19%
Board of Aldermen District 2,statewide,Ruben Rodriguez,R,61,22.51%
Board of Aldermen District 2,statewide,Crystal Gordon-Diaz,R,43,15.87%
Board of Aldermen District 2,statewide,Bryan E. McEntee,R,70,25.83%
Board of Aldermen District 2,statewide,Joshua Barney Brenner,R,45,16.61%
Selectman,statewide,Michael G. Surprenant,R,346,52.11%
Selectman,statewide,Arthur W. Gagne,R,318,47.89%
Selectman,statewide,Rob Boroski,R,723,42.13%
Selectman,statewide,Arnold Jensen,R,993,57.87%
