office,town,candidate,party,votes,vote_percent
State Representative 07,statewide,"Rickey Pinckey, Sr.",D,512,33.66%
State Representative 07,statewide,Joshua Malik Hall,WF,625,41.09%
State Representative 07,statewide,Kenneth P. Green,PC,367,24.13%
State Representative 07,statewide,Giselle Gigi Jacobs,WI,17,1.12%
State Representative 68,statewide,Louis Esposito,D,686,21.92%
State Representative 68,statewide,Joe Polletta,R,2444,78.08%
State Representative 07,Hartford,"Rickey Pinckey, Sr.",D,512,33.66%
State Representative 07,Hartford,Joshua Malik Hall,WF,625,41.09%
State Representative 07,Hartford,Kenneth P. Green,PC,367,24.13%
State Representative 07,Hartford,Giselle Gigi Jacobs,WI,17,1.12%
State Representative 68,Watertown,Louis Esposito,D,635,21.12%
State Representative 68,Watertown,Joe Polletta,R,2372,78.88%
State Representative 68,Woodbury,Louis Esposito,D,51,41.46%
State Representative 68,Woodbury,Joe Polletta,R,72,58.54%
