office,town,candidate,party,votes,vote_percent
Mayor,statewide,"Robert ""Bobby"" Sanchez",D,1286,64.17%
Mayor,statewide,Alicia Hernandez Strong,D,718,35.83%
Planning and Zoning Commission,statewide,Leya Edison,D,39,15.79%
Planning and Zoning Commission,statewide,Jeremiah Foster,D,66,26.72%
Planning and Zoning Commission,statewide,Cynthia A. Barrett,D,142,57.49%
Board of Aldermen - District 4,statewide,Michael DiGiovancarlo,D,208,44.83%
Board of Aldermen - District 4,statewide,Jeffrey A. Hunter Sr.,D,184,39.66%
Board of Aldermen - District 4,statewide,Brenda Liz Cotto Figueroa,D,72,15.52%
Board of Education,statewide,Edward Corey,D,203,26.68%
Board of Education,statewide,Ellen G. Hoehne,D,232,30.49%
Board of Education,statewide,Travis Tanuis,D,211,27.73%
Board of Education,statewide,Jeremy W. Kincaid,D,115,15.11%
Board of Education,statewide,"Harry Amadasun, Jr.",D,660,20.40%
Board of Education,statewide,Bryan R. Hall,D,598,18.49%
Board of Education,statewide,Tyron Harris,D,686,21.21%
Board of Education,statewide,Anabelle Diaz,D,690,21.33%
Board of Education,statewide,Hassan S. Robinson,D,601,18.58%
Mayor,statewide,Lauren Garrett,D,2962,55.76%
Mayor,statewide,Curt Balzano Leng,D,1497,28.18%
Mayor,statewide,Peter Cyr,D,853,16.06%
First Selectman,statewide,Julia Pemberton,D,565,73.76%
First Selectman,statewide,Mike D'Agostino,D,201,26.24%
Board of Alder Ward 20,statewide,Shirley A. Lawrence,D,173,39.05%
Board of Alder Ward 20,statewide,Devin A.Q. Avshalom-Smith,D,260,58.69%
Board of Alder Ward 20,statewide,Addie D Kimbrough,D,10,2.26%
Mayor,statewide,Nancy R Rossi,D,1880,57.65%
Mayor,statewide,John Lewis,D,1381,42.35%
Council Members District 131,statewide,Jorge Cruz Sr.,D,179,29.39%
Council Members District 131,statewide,Denese Taylor-Moye,D,155,25.45%
Council Members District 131,statewide,Shavonne Davis,D,112,18.39%
Council Members District 131,statewide,Tyler Mack,D,163,26.77%
Town Council,statewide,Conrad Heede,D,607,8.31%
Town Council,statewide,Portia Bordelon,D,970,13.28%
Town Council,statewide,Aundre Bumgardner,D,773,10.59%
Town Council,statewide,Melinda Cassiere,D,763,10.45%
Town Council,statewide,Rachael Franco,D,684,9.37%
Town Council,statewide,Edward Jacome,D,670,9.18%
Town Council,statewide,Bruce Jones,D,673,9.22%
Town Council,statewide,David McBride,D,666,9.12%
Town Council,statewide,Juan Melendez,D,757,10.37%
Town Council,statewide,Juliette Parker,D,739,10.12%
Councilmen District C,statewide,John Kydes,D,188,24.80%
Councilmen District C,statewide,Jennifer M. McAllister,D,175,23.09%
Councilmen District C,statewide,Tyler Fairbairn,D,188,24.80%
Councilmen District C,statewide,Jenn McMurrer,D,207,27.31%
Town Council District 8,statewide,Dianne Nolan,D,178,83.96%
Town Council District 8,statewide,Richard P. Brown,D,34,16.04%
Mayor,statewide,Caroline Simmons,D,4156,63.28%
Mayor,statewide,David Martin,D,2412,36.72%
Town Council Two Year Term,statewide,Renee D. Coleman-Mitchell,D,1211,8.08%
Town Council Two Year Term,statewide,"Anthony ""Tony"" Harrington",D,1298,8.66%
Town Council Two Year Term,statewide,Cindi Lloyd,D,1186,7.91%
Town Council Two Year Term,statewide,Kenneth L. McClary,D,1228,8.19%
